Angle 1    | X_1         | Y_1          | Angle 2     | X_2         | Y_2         | Frame # 
-78.729012  | 621.928650  | 437.088745  | -112.452049  | 437.088745  | 303.162933  | 223
-76.727203  | 622.671204  | 438.382874  | -112.862236  | 438.382874  | 305.255432  | 224
-74.713051  | 623.538269  | 439.753723  | -113.230919  | 439.753723  | 307.477783  | 225
-72.687096  | 624.530640  | 441.197174  | -113.556374  | 441.197174  | 309.828766  | 226
-70.649673  | 625.648987  | 442.709167  | -113.836990  | 442.709167  | 312.307159  | 227
-68.600960  | 626.893799  | 444.286011  | -114.071251  | 444.286011  | 314.911652  | 228
-66.541016  | 628.265503  | 445.924133  | -114.257706  | 445.924133  | 317.640961  | 229
-64.469833  | 629.764160  | 447.620148  | -114.394951  | 447.620148  | 320.493774  | 230
-62.387360  | 631.389893  | 449.371002  | -114.481613  | 449.371002  | 323.468903  | 231
-60.293537  | 633.142456  | 451.173859  | -114.516350  | 451.173859  | 326.565063  | 232
-58.188328  | 635.021484  | 453.026062  | -114.497833  | 453.026062  | 329.781128  | 233
-56.071732  | 637.026306  | 454.925262  | -114.424751  | 454.925262  | 333.115906  | 234
-53.943821  | 639.156006  | 456.869263  | -114.295792  | 456.869263  | 336.568329  | 235
-51.804756  | 641.409180  | 458.856110  | -114.109657  | 458.856110  | 340.137451  | 236
-49.654804  | 643.784241  | 460.884064  | -113.865074  | 460.884064  | 343.822266  | 237
-47.494362  | 646.278931  | 462.951599  | -113.560783  | 462.951599  | 347.621948  | 238
-45.323967  | 648.890625  | 465.057434  | -113.195541  | 465.057434  | 351.535645  | 239
-43.144321  | 651.616150  | 467.200500  | -112.768158  | 467.200500  | 355.562714  | 240
-40.956310  | 654.451660  | 469.379883  | -112.277481  | 469.379883  | 359.702484  | 241
-38.761017  | 657.392639  | 471.595093  | -111.722412  | 471.595093  | 363.954376  | 242
-36.559742  | 660.433960  | 473.845642  | -111.101929  | 473.845642  | 368.317993  | 243
-34.354015  | 663.569519  | 476.131500  | -110.415085  | 476.131500  | 372.792908  | 244
-32.145615  | 666.792725  | 478.452820  | -109.661049  | 478.452820  | 377.378845  | 245
-29.936586  | 670.095886  | 480.810028  | -108.839088  | 480.810028  | 382.075562  | 246
-27.729248  | 673.470581  | 483.203949  | -107.948608  | 483.203949  | 386.882874  | 247
-25.526211  | 676.907593  | 485.635590  | -106.989151  | 485.635590  | 391.800720  | 248
-23.330383  | 680.396729  | 488.106384  | -105.960426  | 488.106384  | 396.828979  | 249
-21.144981  | 683.927063  | 490.618073  | -104.862312  | 490.618073  | 401.967651  | 250
-18.973534  | 687.486877  | 493.172791  | -103.694870  | 493.172791  | 407.216675  | 251
-16.819878  | 691.063599  | 495.773010  | -102.458359  | 495.773010  | 412.575928  | 252
-14.688166  | 694.644165  | 498.421509  | -101.153236  | 498.421509  | 418.045288  | 253
-12.582850  | 698.214905  | 501.121552  | -99.780174  | 501.121552  | 423.624512  | 254
-10.508675  | 701.761536  | 503.876648  | -98.340057  | 503.876648  | 429.313110  | 255
-8.470660  | 705.269714  | 506.690674  | -96.833961  | 506.690674  | 435.110657  | 256
-6.474081  | 708.724609  | 509.567871  | -95.263161  | 509.567871  | 441.016235  | 257
